Email,Business,City,ST,Subject,Body_html,Body_text,Rating,Reviews,Employees,Segment,Coverage gap,Warnings,Prospect TZ,Campaign Rank,Priority Tier,Status,Sent at,Opened,Replied,Notes
info@couturemedical.com,Couture Medical,Las Vegas,NV,clinical questions,"<p>A dermatology and plastic surgery practice probably shouldn't put an AI on the phone. Speculating about a lesion or a post-op reaction isn't worth any amount of booking convenience.</p><p>So this one's built to refuse. It handles scheduling, pricing and FAQs — and the moment a caller mentions a medication, contraindication, pregnancy or a reaction, it stops: that's a question for the provider, callback within two hours, tracked and escalated if it slips.</p><p>It books as pending, too. Mishearing ""the fourteenth"" as ""the fortieth"" shouldn't put a surgical consult on Dr. Spann's calendar.</p><p>Worth a look?</p>","A dermatology and plastic surgery practice probably shouldn't put an AI on the phone. Speculating about a lesion or a post-op reaction isn't worth any amount of booking convenience.

So this one's built to refuse. It handles scheduling, pricing and FAQs — and the moment a caller mentions a medication, contraindication, pregnancy or a reaction, it stops: that's a question for the provider, callback within two hours, tracked and escalated if it slips.

It books as pending, too. Mishearing ""the fourteenth"" as ""the fortieth"" shouldn't put a surgical consult on Dr. Spann's calendar.

Worth a look?",4.8,1134,18.0,Core (best fit),closed Sat + Sun,,PT,3,A+,,,,,
info@aventuradermatology.com,Aventura Dermatology,Aventura,FL,three people,"<p>893 reviews at 4.9 against a three-person practice. Dr. Baum's team is carrying a patient load that would staff a clinic four times the size, and both weekend days are dark.</p><p>At three people the answer isn't more software, it's the one piece that removes the most interruption: an agent that answers the phone, books as pending, and refuses every clinical question outright — those route to a provider callback on a two-hour clock.</p><p>Just that. Not a platform.</p><p>Worth exploring?</p>","893 reviews at 4.9 against a three-person practice. Dr. Baum's team is carrying a patient load that would staff a clinic four times the size, and both weekend days are dark.

At three people the answer isn't more software, it's the one piece that removes the most interruption: an agent that answers the phone, books as pending, and refuses every clinical question outright — those route to a provider callback on a two-hour clock.

Just that. Not a platform.

Worth exploring?",4.9,893,3.0,Micro / owner-operated,closed Sat + Sun,3 employees; revenue figure looks unreliable,ET,8,A+,,,,,
info@revivephilly.com,Revive Medical,Philadelphia,PA,solo practice,"<p>711 reviews at 4.9 as essentially a one-person practice. Dr. Gombar cannot inject and answer the phone at the same time, and closed Sunday and Monday means two days of calls with nobody to take them.</p><p>The single highest-value piece for a solo practice is the phone, not the automation stack. An agent answers, books as pending, and won't touch a clinical question.</p><p>I'd rather sell you one thing that fits.</p><p>Worth a look?</p>","711 reviews at 4.9 as essentially a one-person practice. Dr. Gombar cannot inject and answer the phone at the same time, and closed Sunday and Monday means two days of calls with nobody to take them.

The single highest-value piece for a solo practice is the phone, not the automation stack. An agent answers, books as pending, and won't touch a clinical question.

I'd rather sell you one thing that fits.

Worth a look?",4.9,711,1.0,Micro / owner-operated,closed Sun + Monday,1 employee,ET,13,A+,,,,,
info@thebeautyclinic.com,The Beauty Clinic,Fort Lauderdale,FL,after hours,"<p>598 reviews at 5.0 with two people on staff. Every call that comes in while you're treating someone is a booking decided by whether you can pick up.</p><p>An agent picks up instead — answers, quotes real prices, books as pending for you to confirm. That's the whole pitch; the rest of what I build would be overkill at your size.</p><p>Worth a look?</p>","598 reviews at 5.0 with two people on staff. Every call that comes in while you're treating someone is a booking decided by whether you can pick up.

An agent picks up instead — answers, quotes real prices, books as pending for you to confirm. That's the whole pitch; the rest of what I build would be overkill at your size.

Worth a look?",5.0,598,2.0,Micro / owner-operated,closed Sat + Sun,"Apollo classes as cosmetics supplier, not clinic",ET,18,A+,,,,,
support@pacboca.com,Prestige,Boca Raton,FL,three people,"<p>477 reviews at 4.9 against a three-person clinic. Dr. Sharabi's team is carrying a patient load that would staff something four times the size, and weekends are closed.</p><p>The single highest-value piece at that headcount is the phone — an agent that answers, books as pending, and won't touch a clinical question. Hormone and anti-aging inquiries get screened before they hit the calendar.</p><p>Just that.</p><p>Worth a look?</p>","477 reviews at 4.9 against a three-person clinic. Dr. Sharabi's team is carrying a patient load that would staff something four times the size, and weekends are closed.

The single highest-value piece at that headcount is the phone — an agent that answers, books as pending, and won't touch a clinical question. Hormone and anti-aging inquiries get screened before they hit the calendar.

Just that.

Worth a look?",4.9,477,3.0,Micro / owner-operated,closed Sat + Sun,,ET,23,A+,,,,,
info@winterparklaser.com,Winter Park Laser & Anti-Aging Center,Winter Park,FL,weekend coverage,"<p>Closed Saturday and Sunday against 422 reviews — whoever calls this weekend books somewhere else by Monday.</p><p>Beyond the coverage: laser and anti-aging work sells in courses, and courses stall. A reactivation sequence catches anyone dormant past 45 days with nothing booked, texts a rebooking link, then a credit offer three days on, with a cooldown so nobody gets pestered.</p><p>The phone agent and that sequence run off the same patient record, so they never contradict each other.</p><p>Worth a look?</p>","Closed Saturday and Sunday against 422 reviews — whoever calls this weekend books somewhere else by Monday.

Beyond the coverage: laser and anti-aging work sells in courses, and courses stall. A reactivation sequence catches anyone dormant past 45 days with nothing booked, texts a rebooking link, then a credit offer three days on, with a cooldown so nobody gets pestered.

The phone agent and that sequence run off the same patient record, so they never contradict each other.

Worth a look?",4.7,422,10.0,Small,closed Sat + Sun,,ET,28,A+,,,,,
info@amerejuve.com,Amerejuve Medspa,The Woodlands,TX,seven locations,"<p>Seven locations across Texas and Georgia, all closed Sunday and Monday. Two dark days across seven calendars is a lot of inbound arriving at once on Tuesday — and a caller who reaches the wrong location is a booking the network paid for and lost.</p><p>An agent that knows each location's real hours routes before it books, and books as pending so each front desk still confirms. Free consultations, which you offer, are also the appointment type that no-shows hardest — reminders at 24 and 2 hours cut that without anyone chasing.</p><p>Start with one market, measured against its own prior weeks.</p><p>Worth exploring?</p>","Seven locations across Texas and Georgia, all closed Sunday and Monday. Two dark days across seven calendars is a lot of inbound arriving at once on Tuesday — and a caller who reaches the wrong location is a booking the network paid for and lost.

An agent that knows each location's real hours routes before it books, and books as pending so each front desk still confirms. Free consultations, which you offer, are also the appointment type that no-shows hardest — reminders at 24 and 2 hours cut that without anyone chasing.

Start with one market, measured against its own prior weeks.

Worth exploring?",4.9,363,46.0,Core (best fit),closed Sun + Monday,7 locations TX + GA,CT,33,A+,,,,,
info@serenitymedspa.com,Serenity Aesthetics & Wellness,San Francisco,CA,review replies,"<p>4.5 across 316 reviews puts you below most SF med spas on the same block, and the critical ones look unanswered. In a market where clients compare four clinics before booking, that half-star is doing real damage.</p><p>Requests fire on an actual treatment-completed event rather than a blast, and replies come back drafted for a manager to approve. Public auto-posting stays off by default — replying to a review confirms the person was a patient, which is a human's call.</p><p>Worth a look?</p>","4.5 across 316 reviews puts you below most SF med spas on the same block, and the critical ones look unanswered. In a market where clients compare four clinics before booking, that half-star is doing real damage.

Requests fire on an actual treatment-completed event rather than a blast, and replies come back drafted for a manager to approve. Public auto-posting stays off by default — replying to a review confirms the person was a patient, which is a human's call.

Worth a look?",4.5,316,20.0,Core (best fit),closed Sunday,headcount down 29%,PT,38,A+,,,,,
info@shinobayderm.com,Shino Bay Cosmetic Dermatology & Laser Institute,Fort Lauderdale,FL,clinical questions,"<p>A practice running cosmetic dermatology alongside plastic surgery shouldn't put an AI on the phone unsupervised — speculating about a post-op reaction isn't worth any amount of booking convenience.</p><p>So this one is built to refuse. Scheduling, pricing and FAQs only; the moment a caller mentions a medication, a contraindication or a reaction, it stops and routes to a provider callback on a two-hour clock that gets tracked and escalated if it slips.</p><p>It books as pending, never confirmed, so your team keeps the last word. Relevant because both weekend days are currently dark.</p><p>Worth a look?</p>","A practice running cosmetic dermatology alongside plastic surgery shouldn't put an AI on the phone unsupervised — speculating about a post-op reaction isn't worth any amount of booking convenience.

So this one is built to refuse. Scheduling, pricing and FAQs only; the moment a caller mentions a medication, a contraindication or a reaction, it stops and routes to a provider callback on a two-hour clock that gets tracked and escalated if it slips.

It books as pending, never confirmed, so your team keeps the last word. Relevant because both weekend days are currently dark.

Worth a look?",4.8,286,21.0,Core (best fit),closed Sat + Sun,,ET,43,A+,,,,,
info@cmamedicine.com,CMA - Center for Modern Aesthetic Medicine,Jacksonville,FL,weekend coverage,"<p>Closed Saturday and Sunday, sixteen staff, 250 reviews at 4.8. For a research-forward practice like Dr. Schallen's, the weekend caller is usually the one doing the most homework — and they're comparing you against whoever picks up.</p><p>An agent covering those hours answers, quotes your real pricing rather than deflecting to a callback, and books as pending so your team confirms. Anything clinical it won't touch.</p><p>Worth a look?</p>","Closed Saturday and Sunday, sixteen staff, 250 reviews at 4.8. For a research-forward practice like Dr. Schallen's, the weekend caller is usually the one doing the most homework — and they're comparing you against whoever picks up.

An agent covering those hours answers, quotes your real pricing rather than deflecting to a callback, and books as pending so your team confirms. Anything clinical it won't touch.

Worth a look?",4.8,250,16.0,Core (best fit),closed Sat + Sun,Dr. Konika Schallen,ET,48,A+,,,,,
