Email,Business,City,ST,Subject,Body_html,Body_text,Rating,Reviews,Employees,Segment,Coverage gap,Warnings,Prospect TZ,Campaign Rank,Priority Tier,Status,Sent at,Opened,Replied,Notes
info@suddenlyslimmer.com,Suddenly Slimmer Med Spa,Phoenix,AZ,dormant list,"<p>Operating since 1988 out of 12,000 square feet — that's the largest dormant patient list of any med spa in Phoenix, and it's most likely just sitting there.</p><p>A daily job finds anyone with no visit in 45-plus days and nothing booked, texts a booking link, follows with a credit offer three days later, then leaves them alone for 30 days.</p><p>Your ratings also split by platform. 4.7 here, rougher on TripAdvisor, and the critical ones look unanswered.</p><p>Worth exploring?</p>","Operating since 1988 out of 12,000 square feet — that's the largest dormant patient list of any med spa in Phoenix, and it's most likely just sitting there.

A daily job finds anyone with no visit in 45-plus days and nothing booked, texts a booking link, follows with a credit offer three days later, then leaves them alone for 30 days.

Your ratings also split by platform. 4.7 here, rougher on TripAdvisor, and the critical ones look unanswered.

Worth exploring?",4.7,1083,19.0,Core (best fit),closed Sunday,,MT,4,A+,,,,,
info@modernslc.com,Modern SLC by Manor,Salt Lake City,UT,weekend calls,"<p>867 reviews at a perfect 5.0, three people, weekends closed. The rating says everyone who gets through books; the staffing says most people don't get through.</p><p>One thing, not a suite: an agent that covers the hours you can't, quotes real prices, and books as pending so you still confirm.</p><p>Worth a look?</p>","867 reviews at a perfect 5.0, three people, weekends closed. The rating says everyone who gets through books; the staffing says most people don't get through.

One thing, not a suite: an agent that covers the hours you can't, quotes real prices, and books as pending so you still confirm.

Worth a look?",5.0,867,3.0,Micro / owner-operated,closed Sat + Sun,city is Holladay not SLC,MT,9,A+,,,,,
info@youthfulmedicalspa.com,Youthful Medical Spa,Ponte Vedra Beach,FL,dormant patients,"<p>Nineteen years in Jacksonville and two locations. Whatever your active patient count is today, the list of people who came once and drifted is several times larger — and Thermage and CoolSculpting patients are exactly the kind who mean to come back and don't.</p><p>A daily job finds anyone with no visit in 45-plus days and nothing on the books, texts a rebooking link, then a credit offer three days later, then leaves them alone for 30 days.</p><p>At 683 reviews you don't have a reputation problem to solve. You have a re-booking one.</p><p>Worth exploring?</p>","Nineteen years in Jacksonville and two locations. Whatever your active patient count is today, the list of people who came once and drifted is several times larger — and Thermage and CoolSculpting patients are exactly the kind who mean to come back and don't.

A daily job finds anyone with no visit in 45-plus days and nothing on the books, texts a rebooking link, then a credit offer three days later, then leaves them alone for 30 days.

At 683 reviews you don't have a reputation problem to solve. You have a re-booking one.

Worth exploring?",4.8,683,25.0,Core (best fit),closed Sunday,,ET,14,A+,,,,,
keepcalm@essence-medspa.com,Essence Medspa & Wellness Center,Chicago,IL,monday backlog,"<p>Closed Sunday and Monday both. Everything that comes in across those two days lands on the same Tuesday morning, on the same eight people.</p><p>An agent handles the queue as it arrives rather than letting it stack — answering, quoting real prices, and booking as pending so your team confirms Tuesday instead of starting from a full voicemail box.</p><p>Worth exploring?</p>","Closed Sunday and Monday both. Everything that comes in across those two days lands on the same Tuesday morning, on the same eight people.

An agent handles the queue as it arrives rather than letting it stack — answering, quoting real prices, and booking as pending so your team confirms Tuesday instead of starting from a full voicemail box.

Worth exploring?",4.9,578,8.0,Small,closed Sun + Monday,,CT,19,A+,,,,,
info@restormedicalspa.com,RESTOR Medical Spa | Central Park,Denver,CO,twenty locations,"<p>You've said publicly you're going from three Colorado locations to twenty. The thing that breaks first in that jump is never treatment quality — it's the front desk, because call volume scales with locations while the people answering don't.</p><p>Worth fixing before you scale rather than after: an agent that knows each location's real hours, routes to the right calendar, and books as pending so every site still confirms. Right now Sunday and Monday are both dark across all three.</p><p>Functional medicine adds a wrinkle — hormone and weight-loss inquiries need screening, not just booking. That's handled with contraindication gates that sit outside the scoring.</p><p>Worth exploring?</p>","You've said publicly you're going from three Colorado locations to twenty. The thing that breaks first in that jump is never treatment quality — it's the front desk, because call volume scales with locations while the people answering don't.

Worth fixing before you scale rather than after: an agent that knows each location's real hours, routes to the right calendar, and books as pending so every site still confirms. Right now Sunday and Monday are both dark across all three.

Functional medicine adds a wrinkle — hormone and weight-loss inquiries need screening, not just booking. That's handled with contraindication gates that sit outside the scoring.

Worth exploring?",4.9,465,19.0,Core (best fit),closed Sun + Monday,"3 CO locations, plans 20",MT,24,A+,,,,,
contact@glowmedspa.com,Glow Medspa Houston,Houston,TX,monday backlog,"<p>Closed Sunday and Monday, five staff. Two days of inbound arriving at once on Tuesday against a team that's already treating patients.</p><p>An agent works the queue as it lands rather than letting it pile up — books as pending so you confirm what's real.</p><p>Worth exploring?</p>","Closed Sunday and Monday, five staff. Two days of inbound arriving at once on Tuesday against a team that's already treating patients.

An agent works the queue as it lands rather than letting it pile up — books as pending so you confirm what's real.

Worth exploring?",4.7,422,5.0,Micro / owner-operated,closed Sun + Monday,,CT,29,A+,,,,,
info@tolmanmedical.com,NSI Wellness | Aesthetics,Nashville,TN,weekend coverage,"<p>363 reviews at 4.9 with both weekend days dark. In a Nashville market that competitive, the weekend caller books with whoever answers.</p><p>An agent covers those hours, quotes real pricing, and books as pending so your team still confirms every slot. Nothing clinical gets an automated answer.</p><p>*Note: the address on file is tolmanmedical.com, which doesn't match the NSI name — verify it's current before sending.*</p><p>Worth a look?</p>","363 reviews at 4.9 with both weekend days dark. In a Nashville market that competitive, the weekend caller books with whoever answers.

An agent covers those hours, quotes real pricing, and books as pending so your team still confirms every slot. Nothing clinical gets an automated answer.

*Note: the address on file is tolmanmedical.com, which doesn't match the NSI name — verify it's current before sending.*

Worth a look?",4.9,363,,Unknown,closed Sat + Sun,no Apollo match,ET,34,A+,,,,,
info@gatewaylasercenter.com,Gateway Aesthetic Institute and Laser Center,Salt Lake City,UT,review replies,"<p>4.4 across 310 reviews is a good practice with a visible gap — the critical ones look unanswered, and that's what a prospect reads first.</p><p>Review requests can fire on an actual treatment-completed event rather than a blast, with replies drafted for a manager to approve before anything posts. Public auto-posting stays off by default: replying to a review confirms that person was a patient, and that's a human's call.</p><p>You're also closed both weekend days, which is the other half of the same problem.</p><p>Worth a look?</p>","4.4 across 310 reviews is a good practice with a visible gap — the critical ones look unanswered, and that's what a prospect reads first.

Review requests can fire on an actual treatment-completed event rather than a blast, with replies drafted for a manager to approve before anything posts. Public auto-posting stays off by default: replying to a review confirms that person was a patient, and that's a human's call.

You're also closed both weekend days, which is the other half of the same problem.

Worth a look?",4.4,310,24.0,Core (best fit),closed Sat + Sun,,MT,39,A+,,,,,
info@juvly.com,Juvly Aesthetics,Columbus,OH,eleven locations,"<p>Eleven locations across five states, all closed both weekend days, and a 4.6 that sits below where a network your size probably wants to be.</p><p>Two things scale badly by hand at that footprint: weekend call coverage, and review follow-up after treatment. Both run as systems rather than headcount, and both report per location so you can see which ones are actually the problem.</p><p>Start with one state, measured against its own baseline.</p><p>Worth exploring?</p>","Eleven locations across five states, all closed both weekend days, and a 4.6 that sits below where a network your size probably wants to be.

Two things scale badly by hand at that footprint: weekend call coverage, and review follow-up after treatment. Both run as systems rather than headcount, and both report per location so you can see which ones are actually the problem.

Start with one state, measured against its own baseline.

Worth exploring?",4.6,277,53.0,Enterprise / chain,closed Sat + Sun,"11 locations, 5 states",ET,44,A+,,,,,
info@charlotteplasticsurgery.com,Charlotte Plastic Surgery,Charlotte,NC,weekend consults,"<p>A practice running since 1951 with two Charlotte locations, closed both weekend days. Surgical consults are the most expensive appointment you book, and the weekend caller who reaches voicemail is the one comparison-shopping three surgeons.</p><p>An agent covering those hours books as pending — never confirmed — so your team keeps the last word on the surgical calendar. And it refuses clinical questions outright: anything about a procedure, recovery or a medication routes to a provider callback on a tracked two-hour clock.</p><p>Worth exploring?</p>","A practice running since 1951 with two Charlotte locations, closed both weekend days. Surgical consults are the most expensive appointment you book, and the weekend caller who reaches voicemail is the one comparison-shopping three surgeons.

An agent covering those hours books as pending — never confirmed — so your team keeps the last word on the surgical calendar. And it refuses clinical questions outright: anything about a procedure, recovery or a medication routes to a provider callback on a tracked two-hour clock.

Worth exploring?",4.7,245,44.0,Core (best fit),closed Sat + Sun,founded 1951,ET,49,A+,,,,,
