Email,Business,City,ST,Subject,Body_html,Body_text,Rating,Reviews,Employees,Segment,Coverage gap,Warnings,Prospect TZ,Campaign Rank,Priority Tier,Status,Sent at,Opened,Replied,Notes
info@thepalmmedspa.com,The Palm Medspa + Wellness,Orlando,FL,weekend calls,"<p>A 5.0 across 1,062 reviews, and the calendar shows both Saturday and Sunday dark. In Orlando that's two days a week of calls going to voicemail and booking somewhere else by Monday.</p><p>An agent covering those hours quotes your real prices and books as pending, so your team still confirms every slot. Pairs with a sequence for treatment series that stall partway — Morpheus8 at one of three being the usual culprit.</p><p>One thing upfront: you're on Vagaro, and I integrate with Acuity and Square, not Vagaro yet. Better said now than on a demo.</p><p>Worth exploring?</p>","A 5.0 across 1,062 reviews, and the calendar shows both Saturday and Sunday dark. In Orlando that's two days a week of calls going to voicemail and booking somewhere else by Monday.

An agent covering those hours quotes your real prices and books as pending, so your team still confirms every slot. Pairs with a sequence for treatment series that stall partway — Morpheus8 at one of three being the usual culprit.

One thing upfront: you're on Vagaro, and I integrate with Acuity and Square, not Vagaro yet. Better said now than on a demo.

Worth exploring?",5.0,1062,2.0,Micro / owner-operated,closed Sat + Sun,2 employees - owner-operated,ET,5,A+,,,,,
info@goldenglowmedicalspa.com,Golden Glow Medical Spa,Clearwater,FL,seven people,"<p>863 reviews against a seven-person team is the widest demand-to-staff gap on my list. Fifteen years in Tampa Bay will do that — and Sunday is still dark.</p><p>Two pieces, not five. An agent covers the hours you can't and books as pending so you confirm. Reminders at 24 and 2 hours cut no-shows without anyone making calls — and at seven staff, an hour of chasing is an hour not treating.</p><p>Worth exploring?</p>","863 reviews against a seven-person team is the widest demand-to-staff gap on my list. Fifteen years in Tampa Bay will do that — and Sunday is still dark.

Two pieces, not five. An agent covers the hours you can't and books as pending so you confirm. Reminders at 24 and 2 hours cut no-shows without anyone making calls — and at seven staff, an hour of chasing is an hour not treating.

Worth exploring?",4.8,863,7.0,Small,closed Sunday,,ET,10,A+,,,,,
nashville@elamarskin.com,ElaMar Nashville,Nashville,TN,weekend calls,"<p>A clean 5.0 across 659 reviews and both weekend days closed. That rating means the people who reach you convert — the problem is purely who doesn't reach you.</p><p>An agent covering weekends answers, quotes your real pricing rather than deflecting, and books as pending so your team confirms every slot. Nothing clinical gets an automated answer.</p><p>One note: your workbook entry lists a Nashville address against an Alabama record, so I may have the wrong location — worth correcting me.</p><p>Worth a look?</p>","A clean 5.0 across 659 reviews and both weekend days closed. That rating means the people who reach you convert — the problem is purely who doesn't reach you.

An agent covering weekends answers, quotes your real pricing rather than deflecting, and books as pending so your team confirms every slot. Nothing clinical gets an automated answer.

One note: your workbook entry lists a Nashville address against an Alabama record, so I may have the wrong location — worth correcting me.

Worth a look?",5.0,659,11.0,Small,closed Sat + Sun,revenue figure looks unreliable,ET,15,A+,,,,,
support@dermave-spa.com,Dermave spa,St Petersburg,FL,saturday calls,"<p>573 reviews at 4.8, and Saturday is the one day you're closed — which in a Gulf Coast market is the day most people have time to book aesthetics.</p><p>An agent covering Saturday answers, quotes your real prices instead of deflecting, and books as pending so your team confirms Monday.</p><p>Worth exploring?</p>","573 reviews at 4.8, and Saturday is the one day you're closed — which in a Gulf Coast market is the day most people have time to book aesthetics.

An agent covering Saturday answers, quotes your real prices instead of deflecting, and books as pending so your team confirms Monday.

Worth exploring?",4.8,573,,Unknown,closed Saturday,no Apollo match,ET,20,A+,,,,,
connect@couturemedspa.com,Couture Med Spa,Winter Park,FL,membership churn,"<p>You sell memberships, which makes retention the number that actually moves — and a 4.6 across 440 reviews sits a little under where a 39-person practice probably wants to be.</p><p>Two systems, not five. Dormant members get flagged at 45 days with nothing booked, then worked over two touches with a cooldown so nobody unsubscribes. And review requests fire on a real treatment-completed event, with replies drafted for a manager to approve before anything posts.</p><p>Membership businesses lose money quietly. Both of those make it visible.</p><p>Worth a look?</p>","You sell memberships, which makes retention the number that actually moves — and a 4.6 across 440 reviews sits a little under where a 39-person practice probably wants to be.

Two systems, not five. Dormant members get flagged at 45 days with nothing booked, then worked over two touches with a cooldown so nobody unsubscribes. And review requests fire on a real treatment-completed event, with replies drafted for a manager to approve before anything posts.

Membership businesses lose money quietly. Both of those make it visible.

Worth a look?",4.6,440,39.0,Core (best fit),closed Sunday,,ET,25,A+,,,,,
hello@basisaesthetics.com,Basis Aesthetics,Delray Beach,FL,weekend calls,"<p>A clean 5.0 across 399 reviews with six people. Everyone who reaches you books; the constraint is who reaches you, and both weekend days are dark.</p><p>One thing, not a platform: an agent that answers weekends, quotes your real prices, and books as pending so you still confirm.</p><p>Worth exploring?</p>","A clean 5.0 across 399 reviews with six people. Everyone who reaches you books; the constraint is who reaches you, and both weekend days are dark.

One thing, not a platform: an agent that answers weekends, quotes your real prices, and books as pending so you still confirm.

Worth exploring?",5.0,399,6.0,Micro / owner-operated,closed Sat + Sun,city Delray Beach,ET,30,A+,,,,,
info@primemdcenter.com,"Prime MD, P.C.",Raleigh,NC,seven staff,"<p>A flat 5.0 across 351 reviews says the people who reach you leave happy. With seven staff and both weekend days closed, the constraint is reach, not quality.</p><p>One thing first: an agent that covers those hours, quotes your real prices, and books as pending so you confirm. Your hormone and weight-loss lines need screening rather than straight booking, and the contraindication gates handle that before anyone reaches the calendar.</p><p>Worth a look?</p>","A flat 5.0 across 351 reviews says the people who reach you leave happy. With seven staff and both weekend days closed, the constraint is reach, not quality.

One thing first: an agent that covers those hours, quotes your real prices, and books as pending so you confirm. Your hormone and weight-loss lines need screening rather than straight booking, and the contraindication gates handle that before anyone reaches the calendar.

Worth a look?",5.0,351,7.0,Small,closed Sat + Sun,headcount down 33% 12mo,ET,35,A+,,,,,
info@med1aesthetics.com,Med 1 Aesthetics,Detroit,MI,two locations,"<p>Ann Arbor and Wyandotte, two people, a flat 5.0 across 306 reviews. Dr. O'Neill cannot inject in one city and answer the phone in the other.</p><p>An agent that knows both locations' hours, answers, and books as pending is the whole pitch. Everything else I build would be overkill at your size.</p><p>Worth a look?</p>","Ann Arbor and Wyandotte, two people, a flat 5.0 across 306 reviews. Dr. O'Neill cannot inject in one city and answer the phone in the other.

An agent that knows both locations' hours, answers, and books as pending is the whole pitch. Everything else I build would be overkill at your size.

Worth a look?",5.0,306,2.0,Micro / owner-operated,closed Sat + Sun,Dr. Nicole O'Neill,ET,40,A+,,,,,
info@enigmamedispa.com,Enigma Plastic Surgery,Philadelphia,PA,weight loss inquiries,"<p>Medical weight loss is your lead offer, and weight-loss inquiries arrive in volume, mostly unqualified, mostly outside business hours. With two people, sorting them by hand is the job nobody has time for.</p><p>Six questions over chat or SMS score and route them, and contraindication gates sit outside the scoring — pregnancy disqualifies to a medical callback regardless of every other answer.</p><p>The ones worth your time reach the calendar. The rest don't.</p><p>Worth exploring?</p>","Medical weight loss is your lead offer, and weight-loss inquiries arrive in volume, mostly unqualified, mostly outside business hours. With two people, sorting them by hand is the job nobody has time for.

Six questions over chat or SMS score and route them, and contraindication gates sit outside the scoring — pregnancy disqualifies to a medical callback regardless of every other answer.

The ones worth your time reach the calendar. The rest don't.

Worth exploring?",4.8,270,2.0,Micro / owner-operated,closed Sat + Sun,revenue figure looks unreliable vs 2 staff,ET,45,A+,,,,,
info@manhattan-dermatology.com,Manhattan Dermatology,Manhattan Beach,CA,front desk triage,"<p>Three locations running general dermatology alongside cosmetic means one phone line is triaging a skin-cancer screening and a filler consult with the same greeting — and both weekend days are dark.</p><p>Cosmetic inquiries get qualified before they reach your desk. Anything clinical never gets an automated answer at all: it routes to a provider callback on a two-hour clock the system tracks and escalates.</p><p>For an integrative practice like Dr. Magovern's, the routing matters more than the answering.</p><p>Worth exploring?</p>","Three locations running general dermatology alongside cosmetic means one phone line is triaging a skin-cancer screening and a filler consult with the same greeting — and both weekend days are dark.

Cosmetic inquiries get qualified before they reach your desk. Anything clinical never gets an automated answer at all: it routes to a provider callback on a two-hour clock the system tracks and escalates.

For an integrative practice like Dr. Magovern's, the routing matters more than the answering.

Worth exploring?",4.6,231,18.0,Core (best fit),closed Sat + Sun,Dr. Ashley Magovern,PT,50,A+,,,,,
