Email,Business,City,ST,Subject,Body_html,Body_text,Rating,Reviews,Employees,Segment,Coverage gap,Warnings,Prospect TZ,Campaign Rank,Priority Tier,Status,Sent at,Opened,Replied,Notes
support@refreshmedical.com,Refresh - Aesthetics & Wellness,Jupiter,FL,weekend coverage,"<p>Closed Saturday and Sunday, across Jupiter, Port St. Lucie and Vero Beach. GLP-1 inquiries don't keep those hours.</p><p>You're LegitScript certified, so you'd actually read the architecture on this. Most AI booking tools drop patient names and numbers into a workflow tool's execution logs. Mine de-identifies before anything reaches a model — in production it refuses to send a prompt still carrying an identifier — and the orchestration layer only ever sees UUIDs.</p><p>It screens weekend inquiries, contraindication gates included, and books them.</p><p>Worth exploring?</p>","Closed Saturday and Sunday, across Jupiter, Port St. Lucie and Vero Beach. GLP-1 inquiries don't keep those hours.

You're LegitScript certified, so you'd actually read the architecture on this. Most AI booking tools drop patient names and numbers into a workflow tool's execution logs. Mine de-identifies before anything reaches a model — in production it refuses to send a prompt still carrying an identifier — and the orchestration layer only ever sees UUIDs.

It screens weekend inquiries, contraindication gates included, and books them.

Worth exploring?",4.8,1323,16.0,Core (best fit),closed Sat + Sun,Apollo bio claims 10 offices across FL,ET,2,A+,,,,,
office@nobhillaesthetics.com,Nob Hill Aesthetics | Medical Spa,San Francisco,CA,membership churn,"<p>Fixed monthly payments make Nob Hill a subscription business, so churn and no-shows matter more than acquisition — and your reviews already say you're booked out.</p><p>Which is the problem. On a full calendar a no-show isn't a gap in the day, it's revenue a waitlisted member would have paid for.</p><p>Reminders at 24 and 2 hours that can't double-send, no-show recovery with a rebooking link then a credit, dormant flags at 45 days. Consent-aware, STOP handled.</p><p>Worth a look?</p>","Fixed monthly payments make Nob Hill a subscription business, so churn and no-shows matter more than acquisition — and your reviews already say you're booked out.

Which is the problem. On a full calendar a no-show isn't a gap in the day, it's revenue a waitlisted member would have paid for.

Reminders at 24 and 2 hours that can't double-send, no-show recovery with a rebooking link then a credit, dormant flags at 45 days. Consent-aware, STOP handled.

Worth a look?",4.9,923,,Unknown,closed Sat + Sun,no Apollo match,PT,7,A+,,,,,
hello@luminescence-aesthetics.com,Luminescence Aesthetics Buffalo,Washington,DC,weekend coverage,"<p>788 reviews at a flat 5.0 with an eight-person team. That ratio says your people are excellent and badly outnumbered by your own demand.</p><p>Weekends are both dark. An agent covering them answers, quotes real prices, and books into your calendar as pending so a human still confirms. Paired with reminders at 24 and 2 hours that can't double-send even if the job runs twice.</p><p>At eight staff, that is cheaper than the tenth hire and available immediately.</p><p>Worth exploring?</p>","788 reviews at a flat 5.0 with an eight-person team. That ratio says your people are excellent and badly outnumbered by your own demand.

Weekends are both dark. An agent covering them answers, quotes real prices, and books into your calendar as pending so a human still confirms. Paired with reminders at 24 and 2 hours that can't double-send even if the job runs twice.

At eight staff, that is cheaper than the tenth hire and available immediately.

Worth exploring?",5.0,788,8.0,Small,closed Sat + Sun,workbook state may be wrong - Apollo says NY,ET,12,A+,,,,,
getprickd@prickdmedspa.com,PRICK'D Medspa,St Louis,MO,weekend voicemail,"<p>622 reviews in about two years is a fast start, and a Botox bar lives on walk-in-speed convenience. Weekends closed cuts against exactly that promise.</p><p>An agent covering those hours answers and books as pending. For a three-person shop it's the cheapest way to act open without being open.</p><p>Worth exploring?</p>","622 reviews in about two years is a fast start, and a Botox bar lives on walk-in-speed convenience. Weekends closed cuts against exactly that promise.

An agent covering those hours answers and books as pending. For a three-person shop it's the cheapest way to act open without being open.

Worth exploring?",4.9,622,3.0,Micro / owner-operated,closed Sat + Sun,,CT,17,A+,,,,,
info@lecadatampa.com,Lecada Medical Artistry,Tampa,FL,weekend calls,"<p>480 reviews at 4.7, with Saturday and Sunday both dark. Tampa clients book aesthetics on weekends — that's when they have time to call.</p><p>An agent covering those hours answers, quotes your real pricing rather than deflecting to ""call us,"" and books into your calendar as pending so your team confirms every slot before it's real.</p><p>Anything clinical it won't touch — that routes to a provider callback on a two-hour clock the system tracks.</p><p>Worth exploring?</p>","480 reviews at 4.7, with Saturday and Sunday both dark. Tampa clients book aesthetics on weekends — that's when they have time to call.

An agent covering those hours answers, quotes your real pricing rather than deflecting to ""call us,"" and books into your calendar as pending so your team confirms every slot before it's real.

Anything clinical it won't touch — that routes to a provider callback on a two-hour clock the system tracks.

Worth exploring?",4.7,480,10.0,Small,closed Sat + Sun,headcount down 22% in 6mo,ET,22,A+,,,,,
buckhead@dermanimedspa.com,dermani MEDSPAÂ® Buckhead,Atlanta,GA,membership retention,"<p>A membership model across a franchise network means churn compounds quietly — one location's retention problem doesn't show up until the cohort is gone.</p><p>Dormant members get flagged at 45 days with nothing booked, worked over two touches with a cooldown, and reported per location. For a chain that's a unit-economics change rather than a tool.</p><p>Sunday's dark network-wide too, which is the cheaper fix of the two.</p><p>Happy to scope a two-location pilot.</p><p>Worth a look?</p>","A membership model across a franchise network means churn compounds quietly — one location's retention problem doesn't show up until the cohort is gone.

Dormant members get flagged at 45 days with nothing booked, worked over two touches with a cooldown, and reported per location. For a chain that's a unit-economics change rather than a tool.

Sunday's dark network-wide too, which is the cheaper fix of the two.

Happy to scope a two-location pilot.

Worth a look?",4.7,430,82.0,Enterprise / chain,closed Sunday,chain - enterprise motion,ET,27,A+,,,,,
laura@michiganadvancedaesthetics.com,Michigan Advanced Aesthetics,Detroit,MI,monday backlog,"<p>Two locations, four staff, closed Sunday and Monday. Everything from those two days lands together Tuesday morning.</p><p>An agent that knows both locations' hours answers as calls arrive and books as pending so your team confirms. At four people that's cheaper than the fifth hire and available now.</p><p>Worth a look?</p>","Two locations, four staff, closed Sunday and Monday. Everything from those two days lands together Tuesday morning.

An agent that knows both locations' hours answers as calls arrive and books as pending so your team confirms. At four people that's cheaper than the fifth hire and available now.

Worth a look?",4.9,388,4.0,Micro / owner-operated,closed Sun + Monday,,ET,32,A+,,,,,
contact@viivwellnesshaus.com,VIIV WELLNESS HAUS,Miami,FL,weekend coverage,"<p>A flat 5.0 across 325 reviews says the experience lands. Closed Sunday and Monday says a third of the week nobody's answering.</p><p>An agent covers both, quotes your real prices, and books as pending so your team confirms. In Miami, where the aesthetics market is as dense as it gets, answering first is most of winning.</p><p>Worth a look?</p>","A flat 5.0 across 325 reviews says the experience lands. Closed Sunday and Monday says a third of the week nobody's answering.

An agent covers both, quotes your real prices, and books as pending so your team confirms. In Miami, where the aesthetics market is as dense as it gets, answering first is most of winning.

Worth a look?",5.0,325,,Unknown,closed Sun + Monday,no Apollo match,ET,37,A+,,,,,
info@alluremedical.com,Allure Medical,Charlotte,NC,fourteen locations,"<p>Fourteen locations across three states, and a 4.5 that sits below where a network your size probably wants it. At that footprint the rating isn't a service problem — it's that review follow-up doesn't scale by hand past about three sites.</p><p>Requests fire on a real treatment-completed event, replies come back drafted for approval, and everything reports per location so you can see which sites are actually dragging the average.</p><p>Start with the three worst-performing locations, measured against their own baseline.</p><p>Worth exploring?</p>","Fourteen locations across three states, and a 4.5 that sits below where a network your size probably wants it. At that footprint the rating isn't a service problem — it's that review follow-up doesn't scale by hand past about three sites.

Requests fire on a real treatment-completed event, replies come back drafted for approval, and everything reports per location so you can see which sites are actually dragging the average.

Start with the three worst-performing locations, measured against their own baseline.

Worth exploring?",4.5,299,150.0,Enterprise / chain,closed Sunday,"14 locations, 3 states - enterprise",ET,42,A+,,,,,
info@stlouisskin.com,St. Louis Skin Solutions,St Louis,MO,weekend calls,"<p>Twenty-one years in St. Louis, both weekend days closed. A practice that established doesn't have an awareness problem — it has an availability one.</p><p>An agent covering weekends answers, quotes real prices, and books as pending so Dr. Miller's team still confirms every slot. Your laser and injectable work also sells in series, and series stall: a reactivation job catches anyone dormant past 45 days with nothing booked.</p><p>Worth a look?</p>","Twenty-one years in St. Louis, both weekend days closed. A practice that established doesn't have an awareness problem — it has an availability one.

An agent covering weekends answers, quotes real prices, and books as pending so Dr. Miller's team still confirms every slot. Your laser and injectable work also sells in series, and series stall: a reactivation job catches anyone dormant past 45 days with nothing booked.

Worth a look?",4.8,254,13.0,Small,closed Sat + Sun,Dr. Amy Miller,CT,47,A+,,,,,
